time,open,high,low,close,VWAP,Upper Band,Lower Band,Middle of Bands,Slow MA,VWAP
2025-06-09T03:00:00+02:00,21718.8,21722.05,21702.05,21712.43,,61.75559815758325,39.3416603507378,50.548629254160524,51.93257845548294,
2025-06-09T04:00:00+02:00,21712.43,21725.8,21687.18,21711.68,,60.225932537127065,39.936324169086376,50.08112835310672,51.656916573061636,
2025-06-09T05:00:00+02:00,21711.68,21717.18,21696.93,21714.43,,60.34195847709815,40.112189006314715,50.227073741706434,51.73464366021838,
2025-06-09T06:00:00+02:00,21714.43,21722.93,21701.93,21716.8,,60.41798115886985,40.16555233893666,50.29176674890326,51.93911335169144,
2025-06-09T07:00:00+02:00,21716.8,21718.93,21699.8,21716.68,,60.53273505684504,40.34047035731153,50.436602707078286,52.030258186599326,
2025-06-09T08:00:00+02:00,21716.68,21738.05,21702.68,21736.68,,60.61135220032311,40.980054522655564,50.79570336148934,52.8885042396726,
2025-06-09T09:00:00+02:00,21736.68,21765.68,21720.43,21764.93,,60.55184022778896,42.10703848505052,51.32943935641974,54.92467986861486,
2025-06-09T10:00:00+02:00,21764.93,21770.18,21728.93,21762.05,,60.34398208384317,43.364556703347006,51.85426939359509,55.945654400289726,
2025-06-09T11:00:00+02:00,21762.05,21764.55,21744.18,21750.18,,60.247613589252886,44.21742197177826,52.23251778051557,55.15746026819651,
2025-06-09T12:00:00+02:00,21750.18,21760.68,21734.68,21745.18,,59.990424040010026,45.23633693125346,52.613380485631744,54.24819921487311,
2025-06-09T13:00:00+02:00,21745.18,21794.18,21744.68,21781.18,,59.984187168063634,46.08495140232639,53.03456928519501,55.59242453014132,
2025-06-09T14:00:00+02:00,21781.18,21787.68,21760.93,21767.43,,59.86238648409204,46.90052518091849,53.38145583250527,56.4252759103676,
2025-06-09T15:00:00+02:00,21767.43,21791.55,21722.93,21759.05,,59.63748955502221,47.74276080740637,53.69012518121429,55.1619845528177,
2025-06-09T16:00:00+02:00,21759.05,21862.68,21759.05,21814.43,,59.81569914996871,48.37355456679974,54.094626858384224,57.102736773806896,
